TimeOfDay,ChargerConnected,ScreenOn,BatteryLevel,PhoneIsCharging
Day,Yes,Yes,High,yes
Day,Yes,Yes,Low,yes
Day,Yes,No,High,no
Day,Yes,No,Low,yes
Day,No,Yes,High,yes
Day,No,Yes,Low,no
Day,No,No,High,no
Day,No,No,Low,no
Night,Yes,Yes,High,no
Night,Yes,Yes,Low,yes
Night,Yes,No,High,no
Night,Yes,No,Low,no
Night,No,Yes,High,no
Night,No,Yes,Low,yes
Night,No,No,High,yes
Night,No,No,Low,yes
Day,No,No,High,no
Day,No,No,Low,no
Day,No,No,Low,yes
Night,No,Yes,High,yes
Night,No,No,Low,no
Day,Yes,No,Low,no
Night,No,No,High,no
Night,Yes,Yes,High,no
Night,Yes,Yes,High,yes
Night,Yes,Yes,High,no
Day,No,Yes,High,no
Day,Yes,Yes,High,yes
Night,Yes,Yes,High,no
Day,No,No,Low,no
Day,No,No,Low,yes
Night,Yes,Yes,High,yes
Day,Yes,Yes,High,no
Night,No,Yes,High,yes
Day,No,No,Low,yes
Night,No,No,High,yes
Day,No,No,High,no
Day,No,No,High,no
Day,No,Yes,High,no
Night,No,Yes,High,no
Night,Yes,No,High,yes
Night,Yes,Yes,Low,yes
Night,No,No,High,yes
Night,Yes,No,High,no
Night,No,Yes,Low,yes
Night,No,Yes,Low,no
Night,No,Yes,High,yes
Day,No,No,Low,no
Day,Yes,No,Low,no
Day,Yes,Yes,High,no
Night,No,No,High,no
Day,No,Yes,Low,no
Day,Yes,Yes,Low,no
Night,Yes,No,High,no
Day,No,Yes,Low,no
Day,Yes,Yes,High,no
Day,No,Yes,Low,no
Day,Yes,No,Low,yes
Day,Yes,Yes,High,no
Night,Yes,No,High,yes
Night,Yes,Yes,High,no
Night,No,Yes,Low,yes
Night,Yes,Yes,High,no
Night,Yes,No,High,no
Day,Yes,Yes,Low,no
Day,No,No,Low,yes
Day,No,No,Low,yes
Night,No,No,High,yes
Night,Yes,Yes,High,no
Day,No,No,Low,no
Day,No,No,Low,no
Day,No,No,Low,no
Day,No,Yes,Low,yes
Day,No,No,High,yes
Night,No,No,Low,no
Day,Yes,No,High,yes
Day,No,Yes,Low,no
Night,Yes,Yes,Low,yes
Day,No,No,High,no
Night,Yes,Yes,Low,no
Night,Yes,Yes,Low,yes
Day,Yes,Yes,High,yes
Day,Yes,No,Low,no
Day,Yes,No,High,yes
Day,Yes,No,High,yes
Night,Yes,Yes,High,yes
Day,No,Yes,Low,yes
Night,Yes,Yes,High,no
Day,No,No,High,no
Night,Yes,Yes,Low,yes
